연도,자치구_코드_명,당월_매출_금액
2024,강남구,12794927854617
2024,송파구,8147612348044
2024,동작구,6538942725985
2024,서초구,6125044509731
2024,영등포구,5866756211788
2024,동대문구,5745090672936
2024,중구,5570754222388
2024,금천구,4875573899113
2024,용산구,4839676949458
2024,종로구,4526497463502
2024,마포구,4255417353978
2024,강서구,3904102034637
2024,강동구,3237239167137
2024,구로구,3110004423935
2024,광진구,2813892645121
2024,관악구,2776992424526
2024,노원구,2689294638349
2024,양천구,2479063546728
2024,중랑구,2250962430360
2024,성동구,2212878064665
2024,은평구,2158760833434
2024,강북구,2044062583362
2024,성북구,1971257924406
2024,서대문구,1942953704570
2024,도봉구,1680512691533
2025,강남구,12657221245290
2025,송파구,8024023129521
2025,동대문구,6395277108056
2025,서초구,6104632850719
2025,동작구,6045842021781
2025,영등포구,5827309118329
2025,중구,5711340277749
2025,금천구,5023490688349
2025,용산구,4750520353208
2025,종로구,4414332081344
2025,마포구,4149766961120
2025,강서구,3914889800467
2025,강동구,3322657005859
2025,구로구,3096024310084
2025,광진구,2762673977527
2025,관악구,2736216575857
2025,노원구,2664526303890
2025,양천구,2428547781336
2025,중랑구,2250591258432
2025,성동구,2241782847569
2025,은평구,2127257726535
2025,강북구,2036052088935
2025,성북구,1928266043360
2025,서대문구,1923395961432
2025,도봉구,1668748378308
