연도,서비스_업종_코드_명,당월_매출_금액
2024,한식음식점,14958867998725
2024,일반의류,7877888298596
2024,일반의원,6308224281842
2024,의약품,5421103422482
2024,수산물판매,4938547714963
2024,청과상,4132322270496
2024,슈퍼마켓,3556814135803
2024,편의점,3404280268122
2024,호프-간이주점,3173227453876
2024,반찬가게,3122331376224
2025,한식음식점,15058241114450
2025,일반의류,7730470355415
2025,일반의원,6731450402293
2025,의약품,5631963312246
2025,청과상,4867960545900
2025,수산물판매,4363484071649
2025,슈퍼마켓,3440852425599
2025,편의점,3251412205729
2025,반찬가게,3230402230439
2025,일반교습학원,2935634094594
