연도,상권_코드_명_매출,당월_매출_금액
2024,노량진역(노량진),4377254155412
2024,가산디지털단지,3004121701306
2024,용산전자상가(용산역),2481580235065
2024,명동 남대문 북창동 다동 무교동 관광특구,1870694024447
2024,가락시장,1726507007884
2024,강남역,1672942354635
2024,잠실 관광특구,1441904433132
2024,종로3가역,1293889371602
2024,잠실역,1280755861216
2024,종로·청계 관광특구,1001960255501
2025,노량진역(노량진),3904896644926
2025,가산디지털단지,3100968732376
2025,용산전자상가(용산역),2416960434079
2025,명동 남대문 북창동 다동 무교동 관광특구,1948063154215
2025,가락시장,1743838504832
2025,강남역,1645215630717
2025,잠실 관광특구,1470000010563
2025,종로3가역,1269283939350
2025,잠실역,1240947369742
2025,종로·청계 관광특구,978727867459
