연도,상권_코드,상권_코드_명_매출,총매출,평균유동인구
2024,3001491,이태원 관광특구,368649544824,2143064.0863309354
2024,3001492,명동 남대문 북창동 다동 무교동 관광특구,1870694024447,7137683.898617512
2024,3001493,동대문패션타운 관광특구,483053959178,3457613.538961039
2024,3001494,종로·청계 관광특구,1001960255501,8373193.72769953
2024,3001495,잠실 관광특구,1441904433132,4128402.35443038
2024,3001496,강남 마이스 관광특구,519818877858,107586.48214285714
2024,3110001,이북5도청사,2287781307,165732.75
2024,3110002,독립문역 1번,21898651840,520142.0
2024,3110003,세검정초등학교,5366483926,368730.0
2024,3110004,대신고등학교,2572606580,731762.5
2024,3110005,세검정,3347548368,112797.72727272728
2024,3110006,부암동주민센터,213516961,7694.5
2024,3110007,사직공원(한국사회과학도서관),128614901,982758.75
2024,3110008,배화여자대학교(박노수미술관),18812459330,1251083.0
2024,3110009,자하문터널,4550805981,160068.0
2024,3110010,평창동서측,8712331580,164114.3962264151
2024,3110012,성곡미술관,17965745164,579493.5384615385
2024,3110013,체부동홍종문가옥,144630030,131898.5
2024,3110014,경복고등학교,1842874671,50086.77777777778
2024,3110015,청와대사랑채,3695753089,60070.5
2024,3110016,평창동동측,2282305763,28809.25
2024,3110017,정독도서관,522391594,430879.0
2024,3110018,중앙고등학교,6807010520,459348.25
2024,3110019,창덕궁,10852745627,582508.5
2024,3110020,서울국제고등학교,10201395697,1886982.282051282
2024,3110021,성균관대학교,9826934092,1440736.238095238
2024,3110022,경신고등학교,4958698343,550459.48
2024,3110023,서울대병원,4653942628,767810.1
2024,3110024,혜회동주민센터,7871026759,264863.8064516129
2024,3110025,충신시장옆,1934447624,401857.7
2024,3110026,종로5가역 4번,50000000,318906.0
2024,3110027,혜화역 1번,1468783493,371983.75
2024,3110028,이화달팽이길,18671395517,2106532.72
2024,3110029,동대문역 1번,10374334828,2749604.2352941176
2024,3110030,동대문역 3번,2608684365,141381.0
2024,3110031,창신역 1번,319531988,62090.5
2024,3110032,수족관거리,497520132,97280.5
2024,3110033,창신역 4번,2473447584,721595.3333333334
2024,3110034,창신1동주민센터,859172101,275410.0
2024,3110035,동묘앞역 2번,4536011861,1289287.2391304348
2024,3110036,동묘앞역 3번,1861604258,374504.25
2024,3110037,신설동역 12번,3865379697,871869.8823529412
2024,3110038,경향신문사,15188690782,27258.75
2024,3110039,회현역 1번,5469889295,85624.14285714286
2024,3110040,중구회현체육센터(정화예술대남산캠퍼스),2802231360,156527.0
2024,3110041,남산케이블카,26825740918,303311.5483870968
2024,3110042,남산골공원옆,2313445386,262568.28571428574
2024,3110043,충무초등학교,10119616434,813288.825
2024,3110044,관성묘,1917394545,182478.75
2024,3110045,동대문역사문화공원역 5번,22180035244,391543.75
2024,3110047,다산성곽길,1012248184,593045.5
2024,3110048,장충동주민센터,13615939735,993584.2105263158
2024,3110049,장충단 고개,15341582732,560050.0
2024,3110050,약수역 7번,4672004143,441452.1666666667
2024,3110051,한양공고앞 교차로,8614648800,950913.4285714285
2024,3110052,장충초등학교,37566987498,591474.8541666666
2024,3110053,청구역 1번,10273469073,921581.9285714285
2024,3110054,청구역 3번,24485023356,993618.195652174
2024,3110055,황학동벼룩시장,2361526519,485994.6923076923
2024,3110056,신당역 3번,24074010158,1514650.4464285714
2024,3110057,황학코아루아파트,10151687128,783572.9743589744
2024,3110058,성심여자고등학교,61077478210,1586771.25
2024,3110059,새남터성지,5637795794,628013.8928571428
2024,3110060,효창공원앞역 6번,15957343036,684686.306122449
2024,3110061,효창동주민센터,4467858355,1249020.962962963
2024,3110062,한강로동땡땡거리(은행나무길),35410737811,762627.2307692308
2024,3110063,효창공원앞역 5번,27817375809,800509.46
2024,3110064,효창공원앞역 2번,31911111413,1311198.8305084745
2024,3110065,남정초등학교,162751183770,55005.0
2024,3110066,서울역 15번,17048955221,1668048.923076923
2024,3110067,배문고등학교,13718655613,1890810.2653061224
2024,3110068,남영역 1번,28912756807,1657598.142857143
2024,3110069,숙대입구,67145487709,2332052.345454545
2024,3110070,용산세무서,825116515,53081.0
2024,3110071,한강미주맨션아파트,5708480120,70853.25
2024,3110072,열정도,15051885964,271477.0
2024,3110073,삼각지역 3번,963077213,252628.0
2024,3110074,서울역 12번,35121747324,531455.25
2024,3110075,숙대입구역 1번,10751265347,822121.75
2024,3110076,삼각지역 14번,3380003417,75577.75
2024,3110077,삼광초등학교,4870417158,554820.6470588235
2024,3110078,이촌동점보아파트,13520995071,101379.37931034483
2024,3110079,후암동주민센터,30685822036,2096187.7948717948
2024,3110080,해방촌예술마을,7574823283,1654187.4473684211
2024,3110081,해방촌 남동측,30001297380,1643298.75
2024,3110082,용산구청,26218492273,359674.25
2024,3110083,서빙고역 1번,696912140,88877.42857142857
2024,3110084,경리단길북측,29413186562,1010396.1666666666
